Arm,Reward,Regret,Algorithm
3,3.437309944886585,0,Epsilon-Greedy
3,3.6321448115531787,0,Epsilon-Greedy
3,5.552400683380426,0,Epsilon-Greedy
3,3.820055740922956,0,Epsilon-Greedy
3,3.6238609847553045,0,Epsilon-Greedy
3,4.4963306655994675,0,Epsilon-Greedy
3,6.474114944769597,0,Epsilon-Greedy
3,3.8163491911410152,0,Epsilon-Greedy
3,4.313997965505203,0,Epsilon-Greedy
3,4.4803125500490015,0,Epsilon-Greedy
3,4.279834572098903,0,Epsilon-Greedy
3,3.2219050778343856,0,Epsilon-Greedy
3,4.281597912692368,0,Epsilon-Greedy
3,3.3530207309944955,0,Epsilon-Greedy
3,4.900014802668622,0,Epsilon-Greedy
3,3.735209465448652,0,Epsilon-Greedy
3,5.35149824060412,0,Epsilon-Greedy
3,5.029514181816951,0,Epsilon-Greedy
3,5.587311700090001,0,Epsilon-Greedy
3,5.247005812902435,0,Epsilon-Greedy
3,5.33053873809219,0,Epsilon-Greedy
3,3.7790829247486624,0,Epsilon-Greedy
3,5.087720900707824,0,Epsilon-Greedy
3,4.792504239329473,0,Epsilon-Greedy
3,5.114351902519875,0,Epsilon-Greedy
3,4.034405786915991,0,Epsilon-Greedy
3,4.520243468201351,0,Epsilon-Greedy
3,1.2084549212175926,0,Epsilon-Greedy
3,2.8559047242970985,0,Epsilon-Greedy
3,2.65966333260916,0,Epsilon-Greedy
3,2.1852289801202316,0,Epsilon-Greedy
3,4.405138628009894,0,Epsilon-Greedy
3,4.340415409716252,0,Epsilon-Greedy
3,2.798293255092218,0,Epsilon-Greedy
3,3.774756369601375,0,Epsilon-Greedy
3,1.7898565630284433,0,Epsilon-Greedy
3,6.091071151285893,0,Epsilon-Greedy
3,2.4092338028976816,0,Epsilon-Greedy
3,4.0159128834543125,0,Epsilon-Greedy
3,4.756662657486455,0,Epsilon-Greedy
3,3.877445781935304,0,Epsilon-Greedy
3,4.319009601580185,0,Epsilon-Greedy
3,4.359824056729445,0,Epsilon-Greedy
3,2.9810171680537447,0,Epsilon-Greedy
3,1.8655519775319434,0,Epsilon-Greedy
3,4.055494005523366,0,Epsilon-Greedy
3,3.775635627218288,0,Epsilon-Greedy
3,2.0957748809332664,0,Epsilon-Greedy
3,3.7037891035129995,0,Epsilon-Greedy
3,2.321858221805377,0,Epsilon-Greedy
3,2.0771465937754447,0,Epsilon-Greedy
3,5.680874142333629,0,Epsilon-Greedy
3,4.217129444693637,0,Epsilon-Greedy
3,2.972012144941438,0,Epsilon-Greedy
3,3.8034484258057417,0,Epsilon-Greedy
3,2.9398395591163,0,Epsilon-Greedy
3,4.834812069268863,0,Epsilon-Greedy
3,4.120100715143716,0,Epsilon-Greedy
